A,Call overhead,OpenFaaS overhead,Time inside function
51,0.04178,0.04525510099519789,6.899004802107811e-06
52,0.035859999999999996,0.039036387144058944,6.612855941057205e-06
53,0.03893,0.050094758966982365,7.2410330176353455e-06
54,0.041341,0.04164886793172359,7.1320682764053345e-06
55,0.03780599999999999,0.02816728306876123,6.716931238770485e-06
56,0.03273,0.032114406010955575,5.593989044427872e-06
57,0.033946,0.04374262300150097,6.376998499035835e-06
58,0.030304000000000005,0.039256036043062804,5.9639569371938705e-06
59,0.037291000000000005,0.039361789941072464,6.210058927536011e-06
60,0.052926,0.028247711011484267,6.2889885157346725e-06
61,0.04399800000000001,0.028285365964084864,5.634035915136337e-06
62,0.039330000000000004,0.03756948702840507,6.512971594929695e-06
63,0.036788999999999995,0.04390639389614761,6.606103852391243e-06
64,0.038079,0.037670975972756746,6.024027243256569e-06
65,0.038271000000000006,0.030552824136719108,1.0175863280892372e-05
66,0.048401,0.029870130106642842,5.869893357157707e-06
67,0.049488000000000004,0.037017999015375974,7.000984624028206e-06
68,0.030910999999999994,0.03364616386708617,5.836132913827896e-06
69,0.040504,0.03672195990744233,6.040092557668686e-06
70,0.047372000000000004,0.04969174406582117,7.255934178829193e-06
71,0.049824,0.042631944074958565,6.055925041437149e-06
72,0.038459999999999994,0.04100060088258982,6.399117410182953e-06
73,0.041145,0.03697268702992797,6.312970072031021e-06
74,0.04437,0.042326977835401895,6.022164598107338e-06
75,0.036173000000000004,0.036135070967659354,5.92903234064579e-06
76,0.03507,0.029611691919371484,6.30808062851429e-06
77,0.039956,0.03348238691884279,5.613081157207489e-06
78,0.034938000000000004,0.03974622812834382,5.771871656179428e-06
79,0.040253,0.03889264092946053,6.359070539474487e-06
80,0.038028000000000006,0.04570617800797522,0.00016682199202477932
81,0.059849,0.03181208912844956,5.910871550440788e-06
82,0.043871,0.03514989611184597,6.103888154029846e-06
83,0.048815,0.04239778784559667,6.2121544033288956e-06
84,0.049825,0.03635934198252857,5.658017471432686e-06
85,0.041259000000000004,0.03840323091469705,6.769085302948952e-06
86,0.041990999999999994,0.03354347212724388,6.527872756123543e-06
87,0.035574,0.03942691380697489,6.086193025112152e-06
88,0.046808999999999996,0.05375667910607159,7.320893928408623e-06
89,0.052823999999999996,0.029874640929460527,6.359070539474487e-06
90,0.032316,0.035571132900610564,5.867099389433861e-06
91,0.03575099999999999,0.03514593592588604,6.0640741139650345e-06
92,0.041779,0.051086136851117014,6.863148882985115e-06
93,0.05560300000000001,0.04939776803214848,9.231967851519585e-06
94,0.047685,0.04042415291643143,6.847083568572998e-06
95,0.045767999999999996,0.06149500015668571,9.999843314290047e-06
96,0.045672000000000004,0.03693196104113758,1.0038958862423897e-05
97,0.042327,0.03672847887933254,6.5211206674575806e-06
98,0.051954,0.05145973894354701,7.261056452989578e-06
99,0.052285,0.04027634616586566,6.653834134340286e-06
100,0.050836000000000006,0.05975430003494024,1.0699965059757233e-05
