A,Call overhead,OpenFaaS overhead,Time inside function,Total time
90,0.032316,0.035577,5.867099389433861e-06,0.067893
91,0.03575099999999999,0.035152,6.0640741139650345e-06,0.070903
92,0.041779,0.051093,6.863148882985115e-06,0.092872
93,0.05560300000000001,0.049407,9.231967851519585e-06,0.10501
94,0.047685,0.040431,6.847083568572998e-06,0.088116
95,0.045767999999999996,0.061505,9.999843314290047e-06,0.107273
96,0.045672000000000004,0.036942,1.0038958862423897e-05,0.082614
97,0.042327,0.036735,6.5211206674575806e-06,0.079062
98,0.051954,0.051467,7.261056452989578e-06,0.103421
99,0.052285,0.040283,6.653834134340286e-06,0.092568
100,0.050836000000000006,0.059765,1.0699965059757233e-05,0.110601
